"","Group.1","nao","sim"
"6","jose narciso vieira ehrenberg padre",23,4
"1","adalberto nascimento",6,5
"8","nucleo habitacional jose paulino nogueira",5,3
"11","parque dos servidores",5,0
"4","joao lourenco rodrigues professor",4,5
"29","porphyrio da paz general",4,2
"5","jose carlos nogueira reverendo professor",2,0
"16","celso henrique tozzi professor",2,0
"17","dom barreto",2,0
"21","flávio de carvalho",2,0
"30","rita de cassia da silva professora",2,0
"2","adalberto prado e silva professor",1,0
"3","anibal de freitas professor",1,4
"9","orlando signorelli",1,2
"12","paulo mangabeira albernaz prof doutor",1,0
"14","roque de magalhaes barros professor",1,0
"15","antonio vilela junior professor",1,0
"18","eliseu narciso reverendo",1,0
"20","felipe cantusio",1,0
"22","francisco alvares professor",1,0
"23","francisco de araujo mascarenhas doutor",1,0
"27","nao cursou",1,0
"28","orosimbo maia",1,2
"7","luis gonzaga de moura monsenhor",0,1
"10","outra",0,1
"13","residencial sao jose",0,1
"19","eunice virginia ramos navero professora",0,1
"24","hildebrando siqueira professor",0,1
"25","joaquim ferreira lima professor",0,3
"26","messias goncalves teixeira professor",0,1
"31","sesi  sumare- sp",0,1
