"","nome","cidade","alEM","lat","lon","latUTM","lonUTM","rota","dist"
"17","Miguel Vicente Cury","Campinas"," 738","-22.8679059","-47.1519608",-2530508.8867112,279213.279243578,14,10122.4328653431
"29","Parque Dos Servidores","Paulinia"," 652","-22.78597","-47.17849",-2521474.19279573,276356.599889155,7,11653.070108487
"35","Professora Ana Rita Godinho Pousa","Campinas"," 218","-22.8779364","-47.0408542",-2531457.52931963,290631.453388656,46,7384.25645177132
"40","Padre Jose Narciso Vieira Ehrenberg","Paulinia"," 878","-22.7313586","-47.1797669",-2515427.75495782,276136.409230023,4,14729.6868985746
"42","Dom Joao Nery","Campinas"," 428","-22.8958974","-47.0826243",-2533506.69292317,286373.133534811,35,8832.08843504882
"43","Professor Benedito Sampaio","Campinas","  56","-22.9000629","-47.0694952",-2533949.01857256,287726.760322043,44,9199.01228894183
"63","Professor Messias Goncalves Teixeira","Campinas"," 470","-22.8555992","-47.1556682",-2529151.44536698,278812.848994857,9,9772.6683567745
"67","General Porphyrio Da Paz","Paulinia","1111","-22.7700571","-47.150108",-2519669.15304794,279245.644084356,7,9727.1570149374
"68","31 De Marco","Campinas"," 311","-22.8532765","-47.1075438",-2528822.79525089,283748.667786759,38,5562.38934896646
"72","Professor Adalberto Prado E Silva","Campinas"," 164","-22.8543243","-47.0716243",-2528886.59461617,287437.073527107,45,4135.93712553956
"74","Professor Moacyr Santos De Campos","Campinas"," 332","-22.8517509","-47.0383903",-2528554.06096308,290844.191450102,12,5037.78243476783
"75","Professora Eunice Virginia Ramos Navero","Campinas","  78","-22.8435847","-47.024218",-2527629.64955828,292286.403150416,21,5551.33033770793
"87","Professor Francisco Alvares","Campinas"," 159","-22.7758544","-47.0897791",-2520222.42572438,285450.723793929,22,4987.78913576909
"88","Carlos Gomes","Campinas"," 884","-22.9021479","-47.0573502",-2534162.45858328,288976.107953153,30,9519.60956594529
"89","Orosimbo Maia","Campinas"," 457","-22.9064792","-47.0679134",-2534657.33602278,287899.044493651,44,9911.95150079699
"94","Reverendo Professor Jose Carlos Nogueira","Campinas"," 232","-22.8887618","-47.1225847",-2532774.98203632,282261.465003991,48,9603.33480793987
"108","Culto A Ciencia","Campinas"," 457","-22.9008226","-47.0688132",-2534032.17079996,287797.918778112,44,9283.85784817804
"117","Nucleo Habitacional Jose Paulino Nogueira","Paulinia"," 339","-22.7721676","-47.170937",-2519934.13249892,277109.815037266,7,11488.3917076122
"122","Monsenhor Luis Gonzaga De Moura","Campinas"," 276","-22.8847069","-47.0450355",-2532213.29644416,290212.782001118,46,7925.9193613545
"123","Professor Joao Lourenco Rodrigues","Campinas"," 308","-22.898186","-47.0502962",-2533713.58519749,289693.746583338,30,9217.0243284078
"124","Francisco Glicerio","Campinas"," 114","-22.9061194","-47.0546727",-2534598.45766331,289256.965094358,32,9995.25123378831
"125","Professor Anibal De Freitas","Campinas"," 318","-22.8880456","-47.063011",-2532608.7787707,288373.412127961,30,7901.02279413289
"126","Professor Joaquim Ferreira Lima","Campinas"," 122","-22.8739034","-47.0268033",-2530990.98132272,292067.196147956,8,7708.99789087512
"128","Professor Antonio Vilela Junior","Campinas"," 184","-22.9106085","-47.064979",-2535110.42323558,288206.529062649,44,10379.9781429524
"134","Dom Barreto","Campinas"," 953","-22.9154756","-47.0588286",-2535640.6040775,288845.07667338,32,10966.7125691614
"137","Prof Doutor Paulo Mangabeira Albernaz","Campinas"," 210","-22.852881","-47.161216",-2528858.73242191,278239.002445737,9,10166.5925491597
"151","Professora Castinauta De Barros Mello E Albuquerque","Campinas"," 342","-22.8486204","-47.1200931",-2528325.59215709,282453.181019676,38,6216.00652852654
"152","Doutor Telemaco Paioli Melges","Campinas"," 245","-22.8495844","-47.1476662",-2528473.30621686,279624.481000954,9,8745.94254120427
"153","Vila Olimpia","Campinas"," 191","-22.8344703","-47.1425114",-2526791.69396365,280129.286966324,39,7685.53852356021
"156","Professor Hilton Federici","Campinas"," 213","-22.818333","-47.091667",-2524929.62285452,285323.415071,31,2222.89989234458
"166","Jornalista Roberto Marinho","Campinas"," 245","-22.8636778","-47.1433941",-2530027.80167578,280085.683537671,14,9131.80473958688
"172","Professor Jose Vilagelin Neto","Campinas"," 282","-22.9136442","-47.0465147",-2535420.14983578,290105.555058811,32,10972.5718929639
"173","Adalberto Nascimento","Campinas"," 559","-22.8831646","-47.0534072",-2532054.44309728,289351.343175948,46,7524.0099328169
"174","Barao Ataliba Nogueira","Campinas"," 229","-22.9019168","-47.0984047",-2534196.33938991,284763.444531627,43,9843.87656547076
"176","Professor Hildebrando Siqueira","Campinas"," 182","-22.8899375","-47.109083",-2532885.28313111,283648.799466462,5,9015.92143574014
"180","Vereador Angelo Corassa Filho (EMEFM)","Paulinia","   0","-22.7751443","-47.1713898",-2520264.49230159,277068.149053104,7,11392.098717432
"182","Maestro Marcelino Pietrobom (EMEFM)","Paulinia","   0","-22.7474755","-47.172431",-2517201.67236892,276916.240379126,4,13032.7855700829
